Language	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
shanenawa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
achuar-shiwiar	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
nsoʼ	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
fuliru	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
amundava	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
ditammari	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
gisiga	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
lotha	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
bilua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
babungo (grassfields bantu, ring)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
temein	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
poyanáwa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
muan	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
kagulu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
kakua	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
nasioi	-	-	+	+	-	+	+	+	+	-	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	-	-	-	+	+	+	-	-
swedish	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
koryak	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
tinigua	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
shilha	-	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	-	+	+	-	+	+	-	+	+	-	+	+	-	+	-	+
caquinte	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
northern paiute	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
shasta	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
puri	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
dâw	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
mwaghavul 	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
lenakel	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
kambari	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
chumburung	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
jamaican creole	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
mbembe	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
sanuma; sanumá	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
mal	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
southern nuautl	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
andamanese	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	+	+	-	+	+	-	+	+	+	+	-	+
senoufo-cebaara	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
xokleng	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
burmese	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
so	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
kadugli (kadugli)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
sissala (burkina)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
ke'o; kéo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
frisian	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
yakut	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
yulu	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
naxi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
carib (suriname dialect)	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
matsés	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	-
limba	-	-	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
tulu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
kresh	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
yagua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
goggot	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	+
guajiro	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
ndonga (kolonkadhi)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
comorian, ndzwani	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
enawené-nawé	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
tigrinya	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	+	+	-	-
tzutujil	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	-	-	+	+	-	-	-	+
suruí	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
nama	-	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
dida	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
andoke	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
daba	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
tera	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
atayal	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	+	+	-	-	+	+	+	+	-	-
maxakalí	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	-	+	-	-	-	-
ambele	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
imbabura quichua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
mumuye	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
kera	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
bribri	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	-
toba-batak	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
nupe	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
tenharim	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
mazatec	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
wahgi	-	-	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
kwanyama	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
persian	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
kotoko	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	+	-	+	-	+	+	-	+	+	-	+	-	+
angaatiha	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	+	+	-	-	+	+	+	+	-	-
samba leko	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
candoshi-shapra	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
kirya-konzɘl	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	+	-	+	-	+	+	-	+	+	+	+	-	+
!xu	-	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	+	+	+	-	+	+	-	+	+	+	+	-	-
asháninka	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
kanoe	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
angolar	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
dutch	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
eciruuri	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	-
gwandara (nimbia)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	+
auca	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	-	+	-	-	-	-
tuyuca	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
barí	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
iban	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
kasaba	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	+
aragonese	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	+
panamint	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
bakaka (babong)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
yuchi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
jurúna	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
bassa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
mbyá	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
tigre	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	+
hamer	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	+	+	+	-	+	+	-	+	+	+	+	-	-
kanigke:rgotti	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
kayabí	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
dagaare	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
bokala-nkole	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
babanki	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
kuay	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
akasilimi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
ndamba	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
spanish	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	+
tepehua	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
nubian	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
iai	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
urii	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	-	+	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
yil	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
palauan	-	-	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
tlacolula valley zapotec; western tlacolula zapotec; zapotec, san juan guelavía	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
didinga	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	+	+	-	+
bobo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
copi	-	+	+	+	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
shilluk	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	-	+	-	+	-	-
shuar	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
wongo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
karaboro	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
hup	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-
thai	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
pomo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	+	+	-	-
akɔɔse (bakossi)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
dhangar	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
nizaa	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
standard chinese; mandarin	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
kotafon	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
mwotlap	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
dinka	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	-	+	+	+	-	+
seri	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
louyi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	-
banjun	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
san	-	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
toposa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
iquito	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
chuvash	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	+	+	-	-	+	+	-	+	-	+
ningil	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
chimborazo quichua	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
angami	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
malto	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
agni morofo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
lumun	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	-	+	+	+	-	+
bamunka	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
mursi	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
beembe	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
savara	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	+
dupaningan agta; eastern cagayan agta; dupaninan agta	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
blackfoot	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
ukrainian	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
suri	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
logba	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
bete	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
chonyi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
moloko	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
iikile	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
kanuri	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
archi	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	+	+	-	+	+	+	+	+	-	+	+	-	+	+	-	-	-	-
pa-o, taungthu	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
bakaka (mwaneka)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
bade	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
pengo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
efik	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
rundi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
kikamba	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
